ID,PROVINCE,CITY,NTH
1,北京市,朝阳区,1
2,河北省,秦皇岛市,1
3,山西省,长治市,1
4,内蒙古自治区,鄂尔多斯市,1
5,辽宁省,大连市,1
6,吉林省,长春市,1
7,黑龙江省,牡丹江市,1
8,上海市,徐汇区,1
9,江苏省,苏州市,1
10,浙江省,宁波市鄞州区,1
11,安徽省,马鞍山市,1
12,福建省,厦门市,1
13,江西省,赣州市,1
14,山东省,青岛市,1
15,湖北省,黄石市,1
16,湖南省,长沙市,1
17,广东省,东莞市,1
18,广西壮族自治区,来宾市,1
19,海南省,澄迈县,1
20,重庆市,渝中区,1
21,四川省,成都市,1
22,贵州省,遵义市,1
23,云南省,保山市,1
24,西藏自治区,林芝地区,1
25,陕西省,宝鸡市,1
26,甘肃省,金昌市,1
27,青海省,格尔木市,1
28,新疆维吾尔自治区,喀什地区,1
29,北京市,东城区,2
30,天津市,河西区,2
31,河北省,廊坊市,2
32,山西省,朔州市,2
33,内蒙古自治区,包头市,2
34,辽宁省,沈阳市沈河区,2
35,吉林省,延边朝鲜族自治州,2
36,黑龙江省,哈尔滨市南岗区,2
37,上海市,浦东新区,2
38,江苏省,无锡市,2
39,浙江省,嘉兴市,2
40,安徽省,安庆市,2
41,福建省,三明市,2
42,江西省,新余市,2
43,山东省,烟台市,2
44,河南省,洛阳市,2
45,湖北省,襄阳市,2
46,湖南省,岳阳市,2
47,广东省,深圳市福田区,2
48,海南省,保亭黎族苗族自治县,2
49,广西壮族自治区,玉林市,2
50,重庆市,北碚区,2
51,四川省,南充市,2
52,贵州省,贵阳市,2
53,云南省,楚雄彝族自治州,2
54,西藏自治区,山南市,2
55,陕西省,渭南市,2
56,甘肃省,张掖市,2
57,青海省,西宁市,2
58,宁夏回族自治区,石嘴山市,2
59,新疆维吾尔自治区,克拉玛依市,2
60,新疆生产建设兵团,农八师（石河子市）,2
61,北京市,海淀区,3
62,天津市,北辰区,3
63,河北省,沧州市,3
64,山西省,晋中市,3
65,内蒙古自治区,呼和浩特市,3
66,辽宁省,盘锦市,3
67,吉林省,吉林市,3
68,黑龙江省,哈尔滨市道里区,3
69,上海市,嘉定区,3
70,江苏省,南京市江宁区,3
71,浙江省,台州市,3
72,安徽省,铜陵市,3
73,福建省,福州市,3
74,江西省,九江市,3
75,山东省,东营市,3
76,河南省,济源市,3
77,湖北省,宜昌市,3
78,湖南省,株洲市,3
79,广东省,佛山市,3
80,广西壮族自治区,防城港市,3
81,重庆市,江津区,3
82,四川省,乐山市,3
83,贵州省,毕节市,3
84,云南省,曲靖市,3
85,西藏自治区,拉萨市,3
86,陕西省,铜川市,3
87,甘肃省,白银市,3
88,宁夏回族自治区,吴忠市,3
89,新疆维吾尔自治区,昌吉回族自治州,3
90,新疆生产建设兵团,第六师五家渠市,3
